releaseID,releaseTime,targetSiteName,markedTaxon,testDays,nReleased,nRecaptured,includeTest,includeTestComments,Release.comments
323,2022-03-17 18:55,Caswell State Park,Chinook salmon,7,348,43,Yes,,"Shuttled approximately 360 Chinook from Oakdale RSTs to Caswell:
Trip 1 (3/16): 
~270 CS
9.82 mg/L, 11.2 C @ 9:32 AM

Trip 2 (3/17):
~80 CS
11.00 mg/L, 12.1 C @9:24 AM

Marking Notes:
357 Chinook went through the staining process with 9 mortalities occuring during staining and holding.

Release Notes:
348 successfullly stained Chinook were rowed with the Zodiak at irrigation pump #2 and evenly distributed across the width of the river using small dipnets (~5-15 fish). Release occured at 6:55 PM with river temperature at 15.2 C at the release site.

"
324,2023-02-16 17:00,Caswell State Park,Chinook salmon,7,537,24,Yes,,"Transportation/Marking Notes:
Hatchery fish were provided by the Mokeulmne Fish Hatchery. Fish were transported from the Mokelumne Hatchery to Caswell via truck (10:30 AM - 11:27 AM) on 2/15/23. Water temperature leaving the hatchery was 8.7 C and the live car containing hatchery fish was 9.0 C when arriving at Caswell. The river temperature at Caswell was 9.4 C and DO was 10.55 mg/L before staining. Fish were marked on 2/15 from 11:50 AM to 2:10 PM.

On the evening of 2/16, fish were released from the zodiak spreading fish out equally across the river using small dipnets (~5 -10 fish) per 30 - 60 seconds.

46 fish were released below the trap before the evening release due to unsuccessful BBY marking. For the next efficiency trial fish will be marked longer (greater than 2 hours and 20 minutes) or VIE tagging will be used."
325,2023-03-15 16:55,Caswell State Park,Chinook salmon,7,311,20,Yes,,"Marking Notes:
Fish were stained for approximately 3 hours (1 hour longer) due to dye not retaining as well on previous release as well as due to the high turbidity.

Release Notes:
Fish were released evenly across the width of the river by Zodiak using small dipnets (~5 - 10 fish) per 30 - 60 seconds. Fish release occured ~ 2 hours before dusk because high turbidity (20 - 40 NTU) likely decreased opportunities for predation and schooling."
326,2023-03-23 18:38,Caswell State Park,Chinook salmon,7,347,1,Yes,,"Fish were scattered evenly across the width of the river by Zodiak using small dip nets ~5-10 fish / 20 -30 seconds"
327,2023-03-23 18:38,Caswell State Park,Chinook salmon,7,347,0,Yes,,"Fish were scattered evenly across the width of the river by Zodiak using small dip nets ~5-10 fish / 20 -30 seconds"
328,2023-05-11 18:46,Caswell State Park,Chinook salmon,7,725,0,Yes,,"Marking Notes:
Fish were picked up from the Mokeulmne Hatchery @ 10:30 AM and shuttled to Caswell for VIE tagging. The river temperature upon arrival was 12.9 C and air temperature was ~70 F @ 12:15 PM.

Release Notes:
Fish were scattered evenly across the width of the river using small dipnets ~5-10 fish per 20-30 seconds by Zodiak"
329,2024-02-10 16:55,Caswell State Park,Chinook salmon,14,432,13,Yes,,"Marking Notes:
Started staining with 1.7 g (2.75 vials) of BBY. Added an additional .45 g (.75 vials) BBY at 1 hour of marking. Recommend starting with at least 3.25 vials when turbidity is high (measured at ~20 NTUs). 

Release Notes:
Released fish from Zodiak, spreading fish equally across the width of the river using small dipnets (5-10 fish per 30 seconds). Flows at approximately 1,700 cfs."
330,2024-02-29 17:35,Caswell State Park,Chinook salmon,14,385,20,Yes,,"Marking Notes:
4 vials total used (2.4 g of BBY) to help dye retain better than previous trial.Water highly turbid.

Release Notes:
Fish were scattered across the width of the river using small dipnets (~5-10 fish) every 30 seconds."
331,2024-03-20 17:54,Caswell State Park,Chinook salmon,14,812,9,Yes,,"Marking Notes:
Fish transported from Merced River Hatchery through ice chest. Approximately 1.25 hrs with no observed mortality.

Release Notes:
Released fish fromn Zodiak, spreading fish out equally across the width of the river using small dipnets (5-10 fish) per 30 - 60 seconds"
332,2024-04-03 18:11,Caswell State Park,Chinook salmon,14,864,15,Yes,,"Transport Notes: 
Merced DO was between 6-7 mg/L at 12.0 C upon arrival to the Caswell RST site. Extra water from CAS site 10.10 mg/L at 13.7 C was added to the transport tank to improve DO levels.

Release Notes: 
Released from Zodiak, spreading fish equally across the width of the river using small dipnets (5-10 fish/minute) at flows between 600-800 cfs."
333,2024-04-10 18:10,Caswell State Park,Chinook salmon,14,725,15,Yes,,"Transport Notes:
Bubble box died during transport resulting in low DO in transport tank. Likely reason for higher mortality. Fish recovered in live car for 1.5 hours prior to being marked with VIE.

Release Notes:
Using small dipnets (5-10 fish/30 seconds) by Zodiak (trolling motor) spreading equally across the width of the river"
334,2024-04-17 18:23,Caswell State Park,Chinook salmon,14,807,10,Yes,,"Transport Notes:
Merced 7.50 mg/L when leaving at 9:30 AM. Used two bubble boxes (built ones) to ensure safe DO. Arrive at Caswell RST site at 11:00 AM with DO at 9.55 mg/L and 13.5 C at arrival

Release Notes:
Using small dipnets (5-10 fish/30 seconds) by Zodiak (trolling motor) spreading equally across the width of the river"
335,2024-04-24 18:36,Caswell State Park,Chinook salmon,14,772,2,Yes,,"Transport Notes:
Merced 7.00 mg/L and 15.4 C when leaving at 9:30 AM. Arrive at Caswell RST site at 11:00 AM

Release Notes:
Using small dipnets (5-10 fish/30 seconds) by Zodiak spreading equally across the width of the river"
336,2025-03-05 16:30,Caswell State Park,Chinook salmon,14,978,60,Yes,,"Transport Notes: Fish were transported form the Merced River Fish Hatchery beggining at 10:10 AM (DO:8.00 mg/l, Temp: 9.0 C). Arrived at Caswell at 11:45 AM (DO:7.78 mg/l, Temp:10.0 C). In river DO was 7.21 mg/l, temp was 13.2 C. Fish were put in the live"
337,2025-02-13 16:40,Caswell State Park,Chinook salmon,14,997,71,Yes,,"Transport/Marking Notes: Started transport form Merced River Hatchery at 11 AM. Hatchery water temp was between 9 and 10 C. 4 vials (0.6 g each) of BBY were used. Release Notes: Fish released using small dipnets (5-10 fish/30 seconds) by Zodiak while r"
